parameter,number_measurements,measurement_spacing,sample_size,bias,num_removed_values,lower_ci,upper_ci,lower_ci_perc,upper_ci_perc,sd_estimate,estimate,num_converged_values,pop_value,perc_error,conv_fail
theta_fixed,11,Time increasing,1000,-0.1336400132120605,0,2.9970052740909408,3.0031132676091827,-0.29947259090593814,0.3113267609182867,0.0015493834499518775,3.000207059624722,995,3,-0.006901987490737227,0
theta_fixed,11,Time decreasing,30,-0.02780965234017467,0,2.9800285701579385,3.0199392813678427,-1.9971429842061705,1.9939281367842892,0.009956075713168089,3.0002768750042557,998,3,-0.009229166808522038,0
theta_fixed,11,Time decreasing,50,-0.05458540932422897,1,2.9862409777625727,3.0153325168718736,-1.3759022237427032,1.5332516871873711,0.007518520623370678,3.0004104015257393,999,3,-0.013680050857978188,0
theta_fixed,11,Time decreasing,100,-0.12776754673013493,2,2.9909642606324045,3.010582293104482,-0.9035739367595552,1.05822931044815,0.005201907488619776,3.000664634958138,998,3,-0.022154498604602203,0
theta_fixed,11,Time decreasing,200,-0.11623406419047486,2,2.9932266952761273,3.0074900130981668,-0.6773304723872542,0.7490013098166637,0.0036568824449173623,3.0004250543088395,999,3,-0.014168476961318177,0
theta_fixed,11,Time decreasing,500,-0.2167344068922049,2,2.9958233706275017,3.00478398824698,-0.41766293724985526,0.478398824697977,0.0023250079294359254,3.000503909214606,996,3,-0.016796973820198957,0
theta_fixed,11,Time decreasing,1000,-0.29472262384494347,1,2.997144526501523,3.003565523130309,-0.2855473498477479,0.35655231303087787,0.0016106845842507875,3.000474705186857,992,3,-0.015823506228566465,0
theta_fixed,11,Middle-and-extreme,30,-0.03326146816280896,0,2.980384023936468,3.020004323823874,-1.961597606353216,2.0004323823873795,0.010097847200926111,3.0003358692231865,996,3,-0.011195640772883781,0
theta_fixed,11,Middle-and-extreme,50,-0.022153007175908703,0,2.9854282936241443,3.0141535386814367,-1.4571706375855886,1.415353868143674,0.007314742168583652,3.0001620435357506,998,3,-0.005401451191685188,0
theta_fixed,11,Middle-and-extreme,100,-0.04447187908164202,0,2.9900926692472862,3.0104562713541196,-0.9907330752713994,1.0456271354119733,0.005227949910039307,3.000232496756244,997,3,-0.007749891874804978,0
theta_fixed,11,Middle-and-extreme,200,-0.07419947484587065,0,2.9928720956161072,3.007516738861998,-0.7127904383892636,0.7516738861998064,0.00364972226179847,3.0002708074751587,997,3,-0.009026915838624323,0
theta_fixed,11,Middle-and-extreme,500,-0.09704513878641563,0,2.9957872332206312,3.0050962885358867,-0.4212766779368826,0.5096288535886727,0.0023309115674209754,3.0002262036365592,998,3,-0.007540121218641005,0
theta_fixed,11,Middle-and-extreme,1000,-0.20707580823033528,0,2.9971685270926396,3.00356344328787,-0.2831472907360566,0.3563443287869794,0.0016325411333891853,3.000338059774666,992,3,-0.011268659155527772,0
theta_rand,5,Equal,30,0.1390920771397886,1,0.03426496373990292,0.06386350775272982,-1.5735036260097082,1.3863507752729813,0.007568740089655598,0.048947248219598616,991,0.05,2.1055035608027737,0
theta_rand,5,Equal,50,0.1298717760722866,2,0.03719592901015781,0.06122645040226267,-1.2804070989842198,1.1226450402262664,0.006098011200707265,0.04920804045485545,980,0.05,1.5839190902890987,0
theta_rand,5,Equal,100,0.14641173694673118,1,0.04050733197916287,0.05713558049938913,-0.9492668020837136,0.7135580499389131,0.004342852328558899,0.04936415544727254,986,0.05,1.271689105454929,0
theta_rand,5,Equal,200,0.07530699442568282,7,0.04411347245798855,0.05546041681225361,-0.5886527542011452,0.5460416812253601,0.0029218611878432835,0.04977996341581447,981,0.05,0.44007316837106625,0
theta_rand,5,Equal,500,0.047131270773310585,4,0.0460002733477035,0.053521874258948596,-0.3999726652296504,0.3521874258948595,0.001965968834838094,0.04990734139051336,958,0.05,0.18531721897328823,0
theta_rand,5,Equal,1000,0.13961252325440884,4,0.04716904641864421,0.05230603245822361,-0.2830953581355799,0.23060324582236028,0.001333572853556445,0.049813816528971405,890,0.05,0.3723669420571951,0
theta_rand,5,Time increasing,30,0.16629321271414652,1,0.035170489653324935,0.06355616351855663,-1.4829510346675066,1.3556163518556628,0.007301191208206041,0.04878586145734714,988,0.05,2.4282770853057274,0
theta_rand,5,Time increasing,50,0.1211917829604812,0,0.03908609542790525,0.06071132180708072,-1.0913904572094761,1.0711321807080718,0.005571115181709481,0.049324826618050426,996,0.05,1.3503467638991546,0
theta_rand,5,Time increasing,100,0.04323973269393947,0,0.04199219735376978,0.05782533047494759,-0.8007802646230222,0.7825330474947586,0.004072485456637476,0.04982390681745504,996,0.05,0.35218636508992096,0
theta_rand,5,Time increasing,200,0.13635460358181578,0,0.04422290622519317,0.055409244479368416,-0.5777093774806833,0.5409244479368415,0.0028567815199832015,0.049610464688322836,998,0.05,0.7790706233543332,0
theta_rand,5,Time increasing,500,0.026325870884829655,0,0.046509734298999295,0.05334350901401153,-0.34902657010007054,0.33435090140115326,0.0017726060560239803,0.04995333460183945,998,0.05,0.09333079632110886,0
